Full engine repair,32500 LKR (3-month warranty)
Air Filter,950 LKR
Oil change,4550 LKR (5 liters)
Wheel Alignment,1200 LKR
Battery Check,2800 LKR
Check tire air pressure and fill,100 LKR (N2/Tire)
Body wash,2500 LKR
Check light system,650 LKR
Clean power steering pump,2200 LKR
Clean break system,1200 LKR
Clean cooling system,3200 LKR
Change clutch plate (Manual),12250 LKR
Emission test,750 LKR
Vehicle polish,6700 LKR
Tire change,800 LKR
Rear excel bearing, 1300 LKR
Check suspension system,650 LKR
bvn,bvn LKR
